name,location,rate,cost
Doof,Electronic City,4.0,450
XO Belgian Waffle,HSR,4.5,400
Aasife & Brothers Biriyani Centre,HSR,3.9,600
Biryani Junction,Bommanahalli,2.3,450
Fritz Haber,HSR,4.1,450
The Pancake Story,Koramangala 1st Block,4.6,300
Faasos,Koramangala 1st Block,4.0,500
McDonald's,HSR,3.8,500
Stoned Monkey,HSR,3.9,500
Bubble Bee,HSR,3.9,400
Barbeque Delight,Sarjapur Road,3.8,800
Delhi Food Point,Koramangala 1st Block,3.3,250
NH-1,Bellandur,3.8,600
Zangos Grill,Koramangala 1st Block,4.0,300
BOX8- Desi Meals,HSR,4.2,500
Onesta,HSR,4.4,600
Soup'ermanz Kitchen,HSR,4.1,750
Domino's Pizza,Sarjapur Road,2.7,400
What'sinaPita,Koramangala 1st Block,3.9,400
Al-Bek,HSR,3.6,300
Cafe Coffee Day The Lounge,HSR,3.8,650
Moolehatti Donne Biryani Mane,HSR,3.6,400
Mealsbaba,HSR,3.7,400
Polar Bear,Bellandur,4.2,400
Magnolia,Koramangala 3rd Block,4.1,900
Kitchens@HSR,HSR,3.1,200
Aligarh House,HSR,4.4,400
Sardarji Londonwaley,Koramangala 1st Block,3.9,450
Mojo Pizza - 2X Toppings,HSR,4.2,600
Silbatti,HSR,4.0,750
Rolla Rappa,HSR,3.6,400
Kapoor's Cafe,HSR,4.0,800
The Punjabi Rasoi,HSR,4.0,800
HSR High Street,HSR,3.8,800
Fish & Fries Restaurant,HSR,4.0,750
Frozen Bottle,Sarjapur Road,,400
California Burrito,HSR,4.1,400
Asha Tiffins,HSR,4.3,150
Punjabi Nawabi,HSR,4.0,500
Burger King,HSR,4.1,600
Mustard Food Court,HSR,3.9,500
Apsara Ice Cream,HSR,4.5,200
Ovenstory Pizza,HSR,4.0,750
Grilliez,HSR,4.1,600
La Pino'z Pizza,Koramangala 4th Block,4.1,600
Krutunga,HSR,3.6,500
Oh My Biryani,HSR,3.7,550
Kaka-T-Cafe,HSR,4.0,400
Udupi Bhavan,HSR,3.8,400
Cupcake Noggins,HSR,4.1,300
Kadal Da Meen,HSR,3.9,900
Udupi Palace,HSR,3.7,400
The Buffet Table,HSR,,1200
Vasudev Adiga's,HSR,3.7,250
Hakka Chinese Restaurant,Koramangala 1st Block,3.9,600
Anjappar,HSR,2.9,650
Rolls On Wheels,HSR,3.6,300
Nandhini Deluxe,HSR,3.6,800
Uptown Sliders & Shakes,HSR,3.9,600
Snow'ora,Koramangala 4th Block,4.3,450
@Italy,HSR,3.5,700
Idli & Dosa Cafe,HSR,2.6,200
Maa Bhook Lagi,Koramangala 4th Block,3.9,400
Vegan Heat,Koramangala 1st Block,4.1,650
House Stark Cafe,HSR,3.9,300
Food Theory,HSR,2.6,500
The Wicked Cup,HSR,3.9,350
Al Daaz,HSR,4.2,550
Tea Addict,HSR,4.0,300
56 Bhoga Sweets,HSR,3.6,150
Hunger Meals,HSR,3.9,400
Spice of Andhra,HSR,3.7,500
Shiv Shakthi,HSR,4.0,100
Saahib,HSR,3.9,300
Ammi's Biryani,HSR,2.8,500
Om Nom Thai,South Bangalore,3.9,400
Warm Oven,HSR,4.0,500
The Little Chef,HSR,3.5,600
Dosa Time,Sarjapur Road,3.8,200
Biryani Affair,HSR,3.5,350
FreshMenu,Koramangala,3.9,450
Biryani Palace,HSR,3.9,600
Howrah Bridge,HSR,3.3,600
Potful,Sarjapur Road,3.8,650
Sangam Sweets,HSR,3.9,200
The Paratha Company,Koramangala 4th Block,4.3,400
Juicemaker,HSR,3.7,400
KFC,HSR,3.6,400
New Punjabi Dhaba,HSR,3.9,300
Mani's Dum Biryani,Bellandur,4.0,750
Tea Villa Cafe,HSR,4.2,800
The Mylapore Cafe,HSR,4.1,200
Just Shawarma,HSR,3.9,300
Zero Mile Punjab,HSR,4.1,800
Cake Town Cafe,Bellandur,3.9,500
La Casa Brewery And Kitchen,Sarjapur Road,4.4,1500
Hoot,Sarjapur Road,4.2,1400
Bihar Ki Shan,HSR,3.8,300
Stoner,Sarjapur Road,4.3,500
The Tandoori Chai,HSR,3.9,400
Al Khansah,Bellandur,3.9,550
Kachori Kafe,HSR,3.1,300
Hotel Junior Kuppanna,HSR,3.1,550
The Fisherman's Wharf,Sarjapur Road,4.4,1400
Udupi Ruchi,Bellandur,3.8,200
Mughal Treat,HSR,4.0,600
Thanco's Natural Ice Cream,HSR,3.9,450
Shanghai Bistro,Sarjapur Road,4.1,800
Szechuan Dragon,HSR,3.9,600
Desi Flavours,Koramangala 1st Block,3.9,400
Suryawanshi,Sarjapur Road,4.5,700
Kanti Sweets,Bellandur,4.0,400
Hotel Manu,HSR,3.9,400
The Irish House,Bellandur,4.2,1700
OPUS Club,Sarjapur Road,4.5,1900
Happy Endings,Bellandur,4.3,500
Sri Dalma,HSR,3.8,350
Pabrai's Fresh & Naturelle Icecreams,HSR,4.3,180
EggFactor - Street House,HSR,4.1,200
Nasi And Mee,Koramangala 4th Block,4.4,1000
154 Breakfast Club,Koramangala 3rd Block,4.0,900
Tharavadu,HSR,3.8,400
nu.tree,Sarjapur Road,4.4,400
Corner House Ice Cream,HSR,4.5,400
Savoury - Sea Shell Restaurant,BTM,3.9,550
Shree Muthahalli Veg,HSR,4.1,300
Biriyani Zone,HSR,3.9,800
Davanagere Benne Dose,HSR,3.9,150
Sintales,Sarjapur Road,3.6,600
Rang De Basanthi,Koramangala 4th Block,3.7,400
Cafe Terra,Koramangala 1st Block,4.1,700
Kanua,Sarjapur Road,4.4,1400
Ice N Fries Cafe,Sarjapur Road,3.8,200
Occasions,Koramangala 4th Block,4.3,400
Tawa Ghar Ka,HSR,3.8,350
Sardarji Ka Dhaba,Hosur Road,4.0,250
Tapout Tavern,Sarjapur Road,4.1,1200
Zeeshan,Sarjapur Road,2.6,700
Ruh,Bellandur,4.1,1000
As On Fire,HSR,3.8,400
Smally's Resto Cafe,HSR,4.0,650
Kawaii,HSR,3.8,500
Amour Fine Patisserie,HSR,4.0,500
Kitchen On Table,HSR,4.3,1000
Khai Khai,HSR,3.9,450
Shake It Off,Bellandur,4.0,600
Yummy Tummy,Bellandur,3.0,400
Cafe Thulp,Bellandur,4.0,1000
Third Wave Coffee Roasters,HSR,4.2,800
Kumarakom,HSR,3.8,600
Parika Multicuisine & Coastal Fine Dine,HSR,3.9,1000
Koshe Kosha,Koramangala 1st Block,4.0,600
Ghar Ka Khana,Koramangala 1st Block,3.7,150
ReFresh Juice Junction,Koramangala 1st Block,4.1,200
Foodiesthan,HSR,3.7,600
Sarvam,HSR,3.6,550
Kwality Cakes N Bakes,HSR,3.7,350
Andhra Bhojanam,Bellandur,3.6,400
Aaharam,Koramangala 1st Block,4.0,350
The Alphaa,Bommanahalli,3.8,550
Hatti Punjab Di,Koramangala 1st Block,3.9,250
Samosa Singh,HSR,4.0,200
TRUE BLEU RESTO CAFE,HSR,4.2,400
Meeraa's Beegara Oota,HSR,3.8,550
Amrutha Grand Restaurant,Sarjapur Road,3.2,500
Northam's Pizza.Pita,HSR,4.1,450
Helloo Delhi,HSR,3.9,1000
Nanda's,Sarjapur Road,3.3,600
Little Kitchen,Koramangala 1st Block,3.6,400
Poorvika Restro Cafe,HSR,3.7,700
Moti Mahal Delux,HSR,4.0,1000
Noon's,HSR,4.2,300
Dreams Cafe - All Day English Food St.,Koramangala 1st Block,3.8,600
Kuttanadu,HSR,2.8,700
Cinnamon,HSR,3.9,550
Carlos Cake Cafe,Sarjapur Road,3.8,300
Mynutrikitchen,HSR,3.6,300
Atithi,HSR,3.9,800
Cake Cafe,HSR,4.0,300
Samaikya,HSR,3.9,900
The Wok Shop,Koramangala 1st Block,4.1,500
Once Upon A Flame,HSR,4.5,1200
Lungees Foods,Sarjapur Road,3.7,500
Pizza Hut,HSR,3.1,750
GKT Biryani World,HSR,3.7,350
Tipsy Bull - The Bar Exchange,Bellandur,4.4,1400
Banjara Melting Pot,Koramangala 4th Block,4.2,1700
Sri Vishnu Grand,Sarjapur Road,3.8,400
The Rasaganga,HSR,3.9,300
Rashtrakutas,HSR,4.0,800
Biriyaniz,HSR,3.4,400
Caffe Pascucci,HSR,4.1,950
Shree Khana Khazana,HSR,3.9,450
Mangala Hotel,Koramangala 1st Block,3.6,300
Napoli Italian Bistro,HSR,4.1,1200
Sharaab Factory,Bellandur,3.9,1500
Chowpatty,Koramangala 1st Block,3.6,300
Ambur Biryani Point,Koramangala 1st Block,4.2,250
Paratha Plaza,HSR,3.1,200
Cafe Mondo,HSR,3.6,700
Zoey's,Sarjapur Road,4.3,600
Goli Vada Pav No. 1,Bellandur,3.3,200
PSV's Andhra Paradise,HSR,3.5,600
SR Andhra Spicy House,Bommanahalli,3.8,800
Phulke Ghar Ke,Bellandur,4.0,300
Qube Cafe,Koramangala 4th Block,4.2,700
Chaat Trail By Moti Mahal,HSR,3.9,300
Vintage Shack,HSR,3.9,900
Beijing Bites,HSR,3.9,850
Punjabi Nukkad Pure Veg,HSR,4.0,500
Oldtown Dilli,Koramangala 4th Block,4.1,750
Dhaba Bytes,HSR,4.1,650
Mumbai Xpress,Bellandur,2.9,350
Reddy's Restaurant,HSR,3.7,500
Le Charcoal Xpress,HSR,4.0,500
Just Delhiwala,Bellandur,3.8,300
Petoo,Koramangala 1st Block,3.8,800
ReadyBowl,BTM,3.7,400
Yum Kitchen,HSR,3.2,600
Madeena Hotel,HSR,3.9,400
Hyderabad Biryaani Home,South Bangalore,3.0,650
Mumbai Kulfi,HSR,4.0,100
New Delicacy,HSR,3.7,500
Savoury Restaurant,Sarjapur Road,2.9,800
Cafe Madhura,HSR,3.8,200
Broadway - The Gourmet Theatre,HSR,4.2,1800
Spicy Kitchen,HSR,3.7,500
Indian Paratha Factory,HSR,2.7,250
Little Italy,Sarjapur Road,4.3,1500
Pop Hop,Bellandur,4.0,300
Khan Saheb Grills And Rolls,Sarjapur Road,3.2,400
South Tiffins,HSR,3.6,150
Chaai Resto,HSR,3.9,250
Parisar Veg Restaurant,Bommanahalli,3.6,400
Oregano Pizzeria,Koramangala 4th Block,3.7,450
Zero Kelvin,Koramangala 4th Block,4.3,450
Meghana Biryani,Bellandur,2.3,800
Mealer.in,Sarjapur Road,3.9,450
Rajesh Restaurant,HSR,3.5,700
Feaster,HSR,3.8,600
That Garage Cafe,HSR,3.1,650
Cake Dilim,HSR,3.7,400
Filmy Kitchen,Bellandur,3.7,400
What's Cooking,HSR,3.1,300
Intriicake,HSR,3.8,350
Pizza Cart,HSR,3.8,800
Keep It Straight Cafe,HSR,3.9,500
The Sandwich Club,HSR,3.9,250
BIB - Breakfast in the Box,HSR,3.8,600
Drunken Monkey,HSR,4.0,400
Aroma Fine Dine,HSR,4.0,900
HSR Agarval Bhavan,HSR,3.2,400
Chaiwala,Koramangala 1st Block,3.1,100
Ramji Chaiwale,Koramangala 1st Block,3.8,250
Fun Kitchen,HSR,3.8,400
Wow Vada Pav,HSR,3.7,150
Brimstone Cafe,HSR,4.0,1300
Sunny Cafe & Kitchen,HSR,3.8,700
Sufra Restaurant,HSR,3.7,800
Delite Chaat House,HSR,3.4,300
Punjab Di Shaan,HSR,3.0,450
Cream Chemistry,HSR,3.9,500
Maa Di Hatti,Koramangala 1st Block,2.8,500
Second Wife Cafe,HSR,3.8,400
Howlin Wolf,HSR,4.1,700
The Belgian Waffle Co.,HSR,4.1,350
Bakingo,Koramangala 1st Block,4.0,500
The Salad Studio,Bellandur,4.0,400
Pizza Stop,Sarjapur Road,3.2,600
Fusion Tadka,Bellandur,3.7,450
#L-81 Cafe,HSR,3.9,400
Foodzoo,HSR,3.7,300
Punjabi Chulha,Koramangala 1st Block,3.8,400
Lazeez,Koramangala 1st Block,2.4,600
The Rendezvous,Koramangala 4th Block,3.7,800
Kabab Magic,Sarjapur Road,2.9,500
Swathi Spice n Ice,HSR,3.5,700
Aaranya Restaurant,HSR,3.4,800
Southinn,HSR,3.8,250
Butter Side Up,Bellandur,4.1,600
Cream Stone,HSR,4.2,500
Punjabi Times,Bellandur,4.1,1100
Melange - Hotel Ekaa,Electronic City,3.2,900
Abbabi Chicken,Bellandur,3.8,200
Mishmash,HSR,3.9,1400
Raichur Biryani House,HSR,3.8,400
Punjabi Tadka,HSR,2.8,400
Juice Junction Food Court,HSR,3.8,200
Dragon's Kitchen,HSR,3.1,500
Zayakedar,Bellandur,4.0,250
Pingara,Koramangala 1st Block,3.8,550
Sichuan,HSR,4.0,800
Lucknowiz,Koramangala 1st Block,3.5,500
Kabab Mandra,Sarjapur Road,2.9,300
Dande's Hyderabad Biryani,Bommanahalli,3.0,550
Gusto's Pizza,Bellandur,3.0,500
Families Food Court,HSR,3.9,400
Tasty Treat,HSR,3.1,400
Grow Fit,HSR,3.8,500
Sri Udupi Park,HSR,4.0,300
Moriz Restaurant,Bellandur,2.6,800
Ajwa Thalassery Biryani,Sarjapur Road,3.9,500
Charcoal Eats,HSR,4.0,500
Sharma's Malai & Masala,Koramangala 1st Block,4.0,550
Bonfooder,Sarjapur Road,3.9,400
New Gongura Grand,HSR,3.9,550
Thalassery Restaurant,Bellandur,3.5,600
A2B - Adyar Ananda Bhavan,HSR,2.8,400
The Beer Cafe,Koramangala 4th Block,4.2,1300
Sri Krishna Sagar,HSR,3.5,400
Bonum cibum,HSR,4.5,1200
Tetto,Koramangala 1st Block,3.7,1200
Under The Hood,Koramangala 1st Block,4.0,300
Birinz,HSR,4.2,400
Snakk That,HSR,3.9,250
Bistro Claytopia,Koramangala 1st Block,4.1,600
The Waffle Street,HSR,3.9,300
Mustard Cafe,Koramangala 3rd Block,4.1,800
Grigliato,HSR,3.9,1000
Mighty Paws,Sarjapur Road,4.0,500
Chaat Street,HSR,3.8,250
Grapevine,HSR,4.1,1200
Krispy Kreme,HSR,3.9,300
Pasta Street,Koramangala 4th Block,4.5,1300
The Chocolate Room,HSR,3.9,600
Mimansa @ Foxtrot,Koramangala 3rd Block,4.4,1000
Bangalore Cafe,HSR,3.7,400
Leon Grill,HSR,4.3,450
Maia - Eat | Bake | Mom,Bellandur,4.2,1200
Rusbury Fresh Sweets And Savouries,HSR,3.9,200
Bangaliana,HSR,3.7,600
Balle-Licious Kitchen,HSR,3.9,400
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,4.3,700
The Egg Factory,HSR,4.0,750
The Rasoiya Street,HSR,4.1,800
The Meal Story,Sarjapur Road,4.2,700
Manchow,Bellandur,3.8,600
The Yogisthaan Cafe,Koramangala 2nd Block,4.1,600
Purnabramha Maharashtrian Restaurant,HSR,3.7,850
Habibi Falafel,Koramangala 1st Block,4.3,300
Zee5 Loft,HSR,4.4,700
Hanoi - Vietnamese Cuisine,Koramangala 4th Block,4.4,1000
The Waffles Hut,HSR,4.1,400
Pazzo,HSR,4.3,700
Mirch,HSR,3.7,400
Mak n Vak - Fyn,HSR,3.9,500
Bathinda Junction,HSR,4.0,600
The Vape,HSR,4.0,800
Delitz Creamvilla Cafe,Bellandur,4.0,600
Bathinda Dine,Bellandur,4.0,950
Xtreme Sports Bar,Sarjapur Road,4.0,1300
The Grub Central,HSR,4.0,700
Roots,Koramangala 1st Block,4.5,1200
The Flying Cup,Sarjapur Road,4.2,150
Kadala Teera,Sarjapur Road,3.8,600
Wangs Kitchen,HSR,2.4,1000
Cilantro,Koramangala 4th Block,4.0,1500
Shift,HSR,4.2,1500
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,4.0,1100
Night Panda,Koramangala 1st Block,3.8,500
Tea Villa Cafe,HSR,4.2,800
Onesta,HSR,4.4,600
Amour Fine Patisserie,HSR,4.0,500
Corner House Ice Cream,HSR,4.4,400
Third Wave Coffee Roasters,HSR,4.2,800
XO Belgian Waffle,HSR,4.5,400
Caffe Pascucci,HSR,4.1,950
Apsara Ice Cream,HSR,4.5,200
The Belgian Waffle Co.,HSR,4.1,350
Kanti Sweets,HSR,3.8,400
Polar Bear,HSR,4.0,400
The Waffle Street,HSR,3.9,300
Cake Cafe,HSR,4.0,300
Bubble Bee,HSR,3.9,400
Kawaii,HSR,3.8,500
The Chocolate Room,HSR,3.9,600
Shubh Sweets,HSR,3.9,400
House Stark Cafe,HSR,3.9,300
The Waffles Hut,HSR,4.1,400
Thanco's Natural Ice Cream,HSR,3.9,450
Amrutha Sweets,HSR,4.1,200
L J Iyengar Bakery,HSR,3.9,100
Cupcake Noggins,HSR,4.1,300
Chef Baker's,HSR,3.8,600
Kwality Cakes N Bakes,HSR,3.7,350
Pabrai's Fresh & Naturelle Icecreams,HSR,4.3,180
Cream Stone,HSR,4.2,500
Cream Chemistry,HSR,3.9,500
Just Bake,HSR,3.6,400
Food Theory,HSR,2.6,500
The Wicked Cup,HSR,3.9,350
Warm Oven,HSR,4.0,500
Mumbai Kulfi,HSR,4.0,100
56 Bhoga Sweets,HSR,3.6,150
Dhaba Express,HSR,3.7,400
Fritz Haber,HSR,4.1,450
Intriicake,HSR,3.8,350
Patville,HSR,4.0,300
Kairos,HSR,3.8,1000
Sweet Truth,HSR,4.0,500
Shree Mithai,HSR,3.7,150
Stoned Monkey,HSR,3.9,500
Krispy Kreme,HSR,3.9,300
Cake Dilim,HSR,3.7,400
Bistro Claytopia,Koramangala 1st Block,4.1,600
Vegan Heat,Koramangala 1st Block,4.1,650
Bakingo,Koramangala 1st Block,4.0,500
Spice It - Ibis Hotel,Bommanahalli,3.0,1200
Amour Fine Patisserie,HSR,4.0,500
Blk Plus Wht,HSR,4.3,800
Hammered,HSR,,1200
TBC Sky Lounge,HSR,4.7,1000
Zee5 Loft,HSR,4.4,700
Shift,HSR,4.2,1500
Hangover,HSR,4.3,1500
House Of Commons,HSR,4.7,1000
Broadway - The Gourmet Theatre,HSR,4.2,1800
Onesta,HSR,4.4,600
Vanilla Sky,HSR,4.6,1200
Baar Union,HSR,4.6,850
Cirkus,HSR,4.3,1400
Bonum cibum,HSR,4.5,1200
Kitchen On Table,HSR,4.3,1000
Al Daaz,HSR,4.2,550
Here & Now,HSR,4.6,750
The Rasoiya Street,HSR,4.1,800
Once Upon A Flame,HSR,4.5,1200
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,HSR,4.3,700
Safe House,HSR,4.1,900
Indigo X II P,HSR,,1250
Moti Mahal Delux,HSR,4.0,1000
Aasife & Brothers Biriyani Centre,HSR,3.9,600
Silbatti,HSR,3.9,750
The Colony Gastropub,HSR,4.1,1200
Kapoor's Cafe,HSR,4.0,800
The Punjabi Rasoi,HSR,4.0,800
Beijing Bites,HSR,3.9,850
Pazzo,HSR,4.3,700
Grapevine,HSR,4.1,1200
Mughal Treat,HSR,4.0,600
Third Wave Coffee Roasters,HSR,4.2,800
Purnabramha Maharashtrian Restaurant,HSR,3.7,850
Sangam Sweets,HSR,3.9,200
HSR High Street,HSR,3.8,800
Fish & Fries Restaurant,HSR,4.0,750
Rashtrakutas,HSR,4.0,800
Caffe Pascucci,HSR,4.1,950
Howlin Wolf,HSR,4.1,700
Napoli Italian Bistro,HSR,4.1,1200
Kumarakom,HSR,3.8,600
Zero Mile Punjab,HSR,4.1,800
Vintage Shack,HSR,3.9,900
Bathinda Junction,HSR,4.0,600
Smally's Resto Cafe,HSR,4.0,650
Parika Multicuisine & Coastal Fine Dine,HSR,3.9,1000
Helloo Delhi,HSR,3.9,1000
Kanti Sweets,HSR,3.8,400
New Gongura Grand,HSR,3.9,550
Soup'ermanz Kitchen,HSR,4.1,750
Birinz,HSR,4.2,400
The Vape,HSR,4.0,800
Mustard Food Court,HSR,3.9,500
Punjabi Nawabi,HSR,4.0,500
Sufra Restaurant,HSR,3.7,800
Sichuan,HSR,4.0,800
Grilliez,HSR,4.1,600
Shanmukha,HSR,4.0,800
Mishmash,HSR,3.9,1400
Sunny Cafe & Kitchen,HSR,3.8,700
Petoo,HSR,3.8,800
Kadal Da Meen,HSR,3.9,900
The Grub Central,HSR,4.0,700
Empire Restaurant,HSR,3.9,750
Nanda's,HSR,2.9,450
House Stark Cafe,HSR,3.9,300
Cafe Mondo,HSR,3.6,700
Dhaba Bytes,HSR,4.1,650
Lounge 189,HSR,3.8,1300
Howrah Bridge,HSR,3.3,600
Krutunga,HSR,3.6,500
Atithi,HSR,3.9,800
New Delicacy,HSR,3.7,500
M.M Restaurant,HSR,3.9,600
Rajesh Restaurant,HSR,3.5,700
A2B - Adyar Ananda Bhavan,HSR,2.8,400
Keep It Straight Cafe,HSR,3.9,500
Luo Han,HSR,3.6,500
Sarvam,HSR,3.6,550
Biriyani Zone,HSR,3.9,800
Grigliato,HSR,3.9,1000
Canopy Flavours,HSR,2.6,450
Shri Madhuram,HSR,3.9,400
Vasudev Adiga's,HSR,3.7,250
Anjappar,HSR,2.9,650
Hotel Junior Kuppanna,HSR,3.1,550
Swathi Spice n Ice,HSR,3.5,700
Aaranya Restaurant,HSR,3.4,800
Cinnamon,HSR,3.9,550
Nandhini Deluxe,HSR,3.6,800
HSR Agarval Bhavan,HSR,3.2,400
Punjabi Tadka,HSR,2.8,400
Reddy's Restaurant,HSR,3.7,500
Kuttanadu,HSR,2.8,700
That Garage Cafe,HSR,3.1,650
Brimstone Cafe,HSR,4.0,1300
Meeraa's Beegara Oota,HSR,3.8,550
Gold Bean,HSR,2.5,550
The Egg Factory,HSR,4.0,750
Foodiesthan,HSR,3.7,600
Poorvika Restro Cafe,HSR,3.7,700
Mak n Vak - Fyn,HSR,3.9,500
Golden Restaurant,HSR,3.4,750
Aroma Fine Dine,HSR,4.0,900
Kairos,HSR,3.8,1000
Chaai Resto,HSR,3.9,250
PSV's Andhra Paradise,HSR,3.5,600
Sri Udupi Park,HSR,4.0,300
Nature's Nectar,HSR,3.7,600
Punjab Di Shaan,HSR,3.0,450
The Little Chef,HSR,3.5,600
Shree Khana Khazana,HSR,3.9,450
Samaikya,HSR,3.9,900
Dragon's Kitchen,HSR,3.1,500
Wangs Kitchen,HSR,2.4,1000
Feaster,HSR,3.8,600
Talk Over Table Cafe,HSR,3.7,500
Bangaliana,HSR,3.7,600
TRUE BLEU RESTO CAFE,HSR,4.2,400
Leon Grill,HSR,4.3,450
Charcoal Eats,HSR,4.0,500
Moolehatti Donne Biryani Mane,HSR,3.6,400
Chaat Trail By Moti Mahal,HSR,3.9,300
Snakk That,HSR,3.9,250
KFC,HSR,3.6,400
Punjabi Nukkad Pure Veg,HSR,4.0,500
Raghavendra Tiffin,HSR,4.4,150
Mirch,HSR,3.7,400
Shree Muthahalli Veg,HSR,4.1,300
The Tandoori Chai,HSR,3.9,400
California Burrito,HSR,4.1,400
Faasos,HSR,3.9,500
Noon's,HSR,4.2,300
Polar Bear,HSR,4.0,400
The Waffle Street,HSR,3.9,300
Tawa Ghar Ka,HSR,3.8,350
Sri Dalma,HSR,3.8,350
#L-81 Cafe,HSR,3.9,400
Kabab Magic,HSR,3.1,500
Madeena Hotel,HSR,3.9,400
New Punjabi Dhaba,HSR,3.9,300
Davanagere Benne Dose,HSR,3.9,150
Shubh Sweets,HSR,3.9,400
Biryani Palace,HSR,3.9,600
Tharavadu,HSR,3.8,400
McDonald's,HSR,3.8,500
Uptown Sliders & Shakes,HSR,3.9,600
Families Food Court,HSR,3.9,400
Donne Biriyani House,HSR,3.8,200
Sri Krishna Sagar,HSR,3.5,400
Domino's Pizza,HSR,3.8,400
The Rasaganga,HSR,3.9,300
Amrutha Sweets,HSR,4.1,200
Northam's Pizza.Pita,HSR,4.1,450
Le Charcoal Xpress,HSR,4.0,500
Hotel Manu,HSR,3.9,400
Khai Khai,HSR,3.9,450
Second Wife Cafe,HSR,3.8,400
Kaka-T-Cafe,HSR,4.0,400
The Sandwich Club,HSR,3.9,250
Southinn,HSR,3.8,250
Subway,HSR,3.1,600
Pappu Chaiwalla,HSR,3.9,300
Spicy Kitchen,HSR,3.8,500
Fun Kitchen,HSR,3.8,400
Chef Baker's,HSR,3.8,600
The Mylapore Cafe,HSR,4.1,200
Paratha Plaza,HSR,3.8,250
Kachori Kafe,HSR,3.2,300
Bangalore Cafe,HSR,3.7,400
Raichur Biryani House,HSR,3.8,400
Udupi Palace,HSR,3.7,400
Tasty Treat,HSR,3.1,400
Foodzoo,HSR,3.6,300
Bihar Ki Shan,HSR,3.8,300
Pizza Hut,HSR,3.1,750
Delite Chaat House,HSR,3.4,300
Rolls On Wheels,HSR,3.6,300
@Italy,HSR,3.5,700
Idli & Dosa Cafe,HSR,2.6,200
Udupi Bhavan,HSR,3.8,400
Pizza Cart,HSR,3.8,800
Juice Junction Food Court,HSR,3.8,200
Wow Vada Pav,HSR,3.7,150
GKT Biryani World,HSR,3.7,350
Indian Paratha Factory,HSR,2.7,250
Spice of Andhra,HSR,3.7,500
Saahib,HSR,3.9,300
Ammi's Biryani,HSR,2.8,500
As On Fire,HSR,3.8,400
Cafe Madhura,HSR,3.8,200
Juicemaker,HSR,3.7,400
Chaat Street,HSR,3.8,250
The Fisherman's Wharf,Sarjapur Road,4.3,1400
OPUS Club,Sarjapur Road,4.5,1900
Foxtrot - House of Subculture,Koramangala 3rd Block,4.4,1000
Barbeque Nation,Koramangala 1st Block,4.7,1600
Opus Food Stories,Sarjapur Road,4.6,1500
Bistro Claytopia,Koramangala 1st Block,4.1,600
Little Italy,Sarjapur Road,4.3,1500
Mimansa @ Foxtrot,Koramangala 3rd Block,4.4,1000
Asia Alive - DoubleTree Suites By Hilton,Sarjapur Road,4.1,2000
The Meal Story,Sarjapur Road,4.2,700
Mani's Dum Biryani,Koramangala 1st Block,3.9,750
Tapout Tavern,Sarjapur Road,4.1,1200
SR Andhra Spicy House,Bommanahalli,3.8,800
The Alphaa,Bommanahalli,3.8,550
Pingara,Koramangala 1st Block,3.8,550
Melange - Hotel Ekaa,Electronic City,3.2,900
Sardarji Ka Dhaba,Hosur Road,4.0,250
Dande's Hyderabad Biryani,Bommanahalli,3.0,550
Spice It - Ibis Hotel,Bommanahalli,3.0,1200
Desi Flavours,Koramangala 1st Block,3.9,400
The Hub - Ibis Hotel,Bommanahalli,3.7,1500
Royal Calcutta Restaurant,Koramangala 1st Block,4.0,450
Chowpatty,Koramangala 1st Block,3.6,300
Maa Di Hatti,Koramangala 1st Block,2.8,500
Equinox Bar - DoubleTree Suites By Hilton,Sarjapur Road,3.9,1900
The Hidden Cafe,Koramangala 1st Block,3.9,350
Mangala Hotel,Koramangala 1st Block,3.6,300
Delhi Food Point,Koramangala 1st Block,3.3,250
Crunch Pizzas,BTM,2.6,600
Udupi Upahara,Koramangala 1st Block,3.7,300
Aaharam,Koramangala 1st Block,4.0,350
Chaiwala,Koramangala 1st Block,3.1,100
Biryani Junction,Bommanahalli,2.3,450
House Of Commons,HSR,4.7,1000
Hammered,HSR,,1200
TBC Sky Lounge,HSR,4.7,1000
Shift,HSR,4.2,1500
Hangover,HSR,4.3,1500
Baar Union,HSR,4.6,850
Cirkus,HSR,4.3,1400
Safe House,HSR,4.1,900
OPUS Club,Sarjapur Road,4.5,1900
Foxtrot - House of Subculture,Koramangala 3rd Block,4.4,1000
Tapout Tavern,Sarjapur Road,4.1,1200
The Hub - Ibis Hotel,Bommanahalli,3.7,1500
Hammered,HSR,,1200
House Of Commons,HSR,4.7,1000
Baar Union,HSR,4.6,850
TBC Sky Lounge,HSR,4.7,1000
Hangover,HSR,4.3,1500
Cirkus,HSR,4.3,1400
Safe House,HSR,4.1,900
The Colony Gastropub,HSR,4.1,1200
Napoli Italian Bistro,HSR,4.1,1200
Mishmash,HSR,3.9,1400
Lounge 189,HSR,3.8,1300
The Fisherman's Wharf,Sarjapur Road,4.3,1400
OPUS Club,Sarjapur Road,4.5,1900
Opus Food Stories,Sarjapur Road,4.6,1500
Tapout Tavern,Sarjapur Road,4.1,1200
